FACILITY_NAME,LATITUDE,LONGITUDE,TOTAL_RELEASES,STREET_ADDRESS,PARENT_COMPANY_NAME
BRADKEN SAINT JOSEPH MACHINE SHOP,39.73072,-94.7788,0,3811 S 48TH TERRACE,BRADKEN INC
MMT TECHNOLOGY INC,38.59433,-94.25142,0,30001 E 286TH TERRACE,NA
HOLLAND INTEGRATED METAL SOLUTIONS,39.28445,-94.39626,0,2901 HEARTLAND DR,NA
AUDUBON READYMIX LLC DBA QUICKSILVER READYMIX,39.147777,-94.39318,0.1851,2601 N 291 HWY,EAGLE MATERIALS INC
BLUESCOPE BUILDINGS NA INC,39.718891,-94.89196,76.6,2250 LOWER LAKE RD,BLUESCOPE STEEL N.A. INC
UNIVERSAL GALVANIZING INC,38.825095,-91.002575,33,510 SE 1ST ST,NA
PITTSBURGH GLASS WORKS LLC,38.80891,-90.74946,41.101,831 LONE STAR DR,PITTSBURGH GLASS WORKS LLC
WAPPAPELLO TS,36.902389,-90.270028,216.1,461 COUNTY RD 517,US DEPARTMENT OF DEFENSE
SRGGI-FARMINGTON,37.75976,-90.45168,2.46,2055 PROGRESS DR,GUARDIAN INDUSTRIES CORP
CERRO FLOW PRODUCTS LLC,39.160641,-91.914108,37.023,1500 IND US TRIAL DR,BERKSHIRE HATHAWAY INC
CERRO FLOW PRODUCTS LLC,39.69581,-92.05295,0.0016,101 S DOUGLAS,BERKSHIRE HATHAWAY
PARKER HANNIFIN SPORLAN DIV - PLANT #1,38.55355,-91.01464,474,711 INDUSTRIAL AVE,PARKER HANNIFIN CORP
SCROLL COMPRESSORS LLC,36.9655,-92.663611,10.0031,1400 NW 3RD ST,EMERSON ELECTRIC CO
MARTIN FOUNDRY CO,39.09323,-94.49756,3.7203,1510 CRYSTAL AVE,NA
JW ALUMINUM,38.55751,-90.24553,8.84,6100 S BROADWAY,WELLSPRING CAPITAL MANAGEMENT
METAL CONTAINER CORP - ARNOLD CAN PLANT,38.43391,-90.35578,3.4,42 TENBROOK INDUSTRIAL PARK,ANHEUSER-BUSCH INBEV
WIRECO WORLDGROUP CHILLICOTHE FACILITY,39.778542,-93.531433,3.608,601 CORPORATE,WIRECO WORLDGROUP
LOZIER CORP,37.0756,-94.549103,0.44,1625 SCHIFFERDECKER,LOZIER CORP
COMMERCIAL PLATING CO,38.72844,-90.22197,10.2,9100 RIVERVIEW DR,NA
HUBBELL POWER SYSTEMS - EAST ST/PLASTICS,39.213668,-92.12456,33.9,1190 E SWITZLER,HUBBELL INC
MODINE MANUFACTURING CO,38.564491,-92.281158,648,1502 S COUNTRY CLUB DR,MODINE MANUFACTURING CO
GET GLOBAL SIGNALING,39.06344,-94.21497,5.91,2712 DILLINGHAM RD,GENERAL ELECTRIC CO (GE CO)
GKN AEROSPACE NA INC,38.7765,-90.36434,2303.56,142 JS MCDONNELL BLVD,GKN N.A. INC
BODINE ALUMINUM INC,38.69345,-90.34642,2.0649545,2100 WALTON RD,TOYOTA MOTOR ENGINEERING & MANUFACTURING N.A. INC
CONTINENTAL CASTING LLC,39.65562,-91.72276,1.33,801 SECOND ST,CONTINENTAL CASTING LLC
M & R PLATING,38.568775,-91.046287,16.4,303 W LINK DR,NA
KILLARK,38.65141,-90.23342,0.481,3940 MARTIN LUTHER KING DR,HUBBELL INC
SPARTAN LIGHT METAL PRODUCTS INC,39.15423,-91.91414,5.4272,2510 LAKEVIEW RD,SPARTAN LIGHT METAL PRODUCTS INC
PARKER HANNIFIN SPORLAN DIV - PLANT #3,38.56922,-91.06091,221,215 LANGE DR,PARKER HANNIFIN CORP
SPEEDLINE TECHNOLOGIES,37.970448,-92.695034,0.1325,1629 OLD S 5,ILLINOIS TOOL WORKS INC
US DOE KANSAS CITY PLANT,38.959019,-94.576569,32.63,2000 E 95TH ST,US DEPARTMENT OF ENERGY
WATERLOO INDUSTRIES INC,38.726151,-93.247757,2.8006,1500 WATERLOO DR,FORTUNE BRANDS HOME & SECURITY
PAUL MUELLER CO,37.212416,-93.314401,0.446,1600 W PHELPS,NA
SIERRA BULLETS LLC,38.716861,-93.240694,106.5,1400 W HENRY ST,BHH MANAGEMENT
NUCOR LMP,40.342709,-94.85054,11.92,2000 E FIRST ST,NUCOR CORP
